#REFERENCE 3 47.2332780 26.7604953
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   K1a   -25.135    14.386    28.961       nan       nan     3.107     0.035      1.23  -46688.7    -453.0    +-
   K1a    -5.940   -40.695    41.127       nan       nan     4.814     0.022      1.71  -59732.0  -13496.3    ++
   K1a     0.311     0.324     0.449       nan       nan     0.070     0.002     -2.88  -32442.8   13793.0    --
   K1a    27.929    27.858    39.447       nan       nan     4.279     0.061      1.58  -58567.9  -12332.2    ++
   K1a    31.836   -14.630    35.037       nan       nan     2.346     0.029      0.93  -52017.5   -5781.8    +-
   B4b    -8.629   -29.324    30.567       nan       nan     3.232     0.101      1.27  -42032.7       0.0    +-
   B4b    -0.190    -2.275     2.283       nan       nan     0.104     0.003     -2.46  -31079.0   10953.7    --
   B4b    22.228    42.511    47.972       nan       nan     3.045     0.018      1.21  -77732.2  -35699.6    ++
   B4a    -8.531   -28.643    29.886       nan       nan     3.304     0.090      1.30  -40904.5    1128.1    +-
   B4a    -0.295    -2.447     2.465       nan       nan     0.109     0.003     -2.41  -30774.2   11258.5    --
   B4a    22.688    42.866    48.500       nan       nan     2.943     0.018      1.17  -78970.5  -36937.8    ++
   B3b    -8.636   -29.748    30.976       nan       nan     3.474     0.116      1.35  -42635.8       0.0    +-
   B3b    -0.121    -2.191     2.195       nan       nan     0.102     0.003     -2.48  -31237.9   11397.9    --
   B3b    21.826    42.393    47.681       nan       nan     3.107     0.019      1.23  -77065.3  -34429.6    ++
   B3a    -8.435   -29.136    30.332       nan       nan     3.505     0.103      1.36  -41587.8    1047.9    +-
   B3a    -0.215    -2.349     2.359       nan       nan     0.106     0.003     -2.44  -30968.8   11667.0    --
   B3a    22.241    42.729    48.171       nan       nan     3.008     0.018      1.20  -78213.7  -35577.9    ++
   B2b    -7.480   -29.466    30.400       nan       nan     6.497     0.148      2.03  -41286.9       0.0    +-
   B2b    -0.159    -2.428     2.433       nan       nan     0.108     0.003     -2.42  -30923.4   10363.5    --
   B2b    21.492    43.210    48.259       nan       nan     3.006     0.018      1.19  -78503.4  -37216.5    ++
   B2a    -7.432   -28.585    29.535       nan       nan     4.792     0.099      1.70  -39984.9    1301.9    +-
   B2a    -0.277    -2.636     2.650       nan       nan     0.114     0.003     -2.36  -30555.4   10731.5    --
   B2a    21.993    43.641    48.869       nan       nan     2.890     0.017      1.15  -79935.2  -38648.3    ++
   B1b    -9.146   -28.980    30.389       nan       nan     2.657     0.081      1.06  -41925.8       0.0    +-
   B1b    -0.268    -2.262     2.277       nan       nan     0.104     0.003     -2.46  -31020.2   10905.6    --
   B1b    23.002    42.198    48.060       nan       nan     3.022     0.018      1.20  -77875.3  -35949.5    ++
   B1a    -9.129   -28.326    29.761       nan       nan     3.003     0.080      1.19  -40829.5    1096.3    +-
   B1a    -0.371    -2.429     2.457       nan       nan     0.108     0.003     -2.41  -30721.4   11204.5    --
   B1a    23.421    42.551    48.571       nan       nan     2.926     0.018      1.17  -79076.1  -37150.2    ++
   6.3   -13.555    10.072    16.887       nan       nan     1.295     0.008      0.28  -26388.5       0.0    +-
   6.3    -2.878     2.536     3.836       nan       nan     0.172     0.003     -1.91  -24723.5    1665.0    --
   6.3    23.807   -46.910    52.605       nan       nan     2.902     0.022      1.16  -79223.1  -52834.6    ++
   6.2    28.428   -47.762    55.582       nan       nan     2.709     0.021      1.08  -84973.5  -58585.0    ++
   6.1   -14.488     8.201    16.648       nan       nan     1.357     0.012      0.33  -26304.6      83.9    +-
   6.1    -3.421     2.048     3.987       nan       nan     0.147     0.001     -2.08  -24722.3    1666.2    --
   6.1    28.859   -42.607    51.461       nan       nan     3.596     0.037      1.39  -76689.4  -50300.9    ++
   6.1    47.678   -15.021    49.988       nan       nan     9.029     0.271      2.39  -73957.6  -47569.1    +-
   6.1    49.838    -4.860    50.074       nan       nan     7.780     0.188      2.23  -74091.9  -47703.4    ++
   3.2    -9.760    49.194    50.153       nan       nan     2.867     0.030      1.14  -82933.1       0.0    ++
   3.2     2.879    -3.534     4.558       nan       nan     0.165     0.001     -1.96  -29401.0   53532.1    --
   3.2    15.612   -14.621    21.390       nan       nan     1.617     0.010      0.52  -31996.8   50936.3    +-
   3.1   -15.317    42.972    45.620       nan       nan     4.114     0.064      1.54  -72789.7   10143.4    ++
   3.1     2.819    -1.611     3.247       nan       nan     0.096     0.001     -2.55  -31329.2   51603.9    --
   3.1    20.521   -12.472    24.014       nan       nan     1.514     0.009      0.45  -36373.5   46559.6    +-
  10.3   -26.239    18.492    32.101       nan       nan     2.699     0.024      1.08  -47032.0       0.0    +-
  10.3    -3.081   -49.650    49.745       nan       nan     4.521     0.051      1.64  -70717.3  -23685.4    ++
  10.3     0.254     0.776     0.816       nan       nan     0.049     0.001     -3.27  -31748.6   15283.4    --
  10.3    39.591   -13.468    41.819       nan       nan     3.010     0.027      1.20  -58499.8  -11467.8    +-
  10.3    38.157    22.706    44.401       nan       nan     4.679     0.070      1.68  -61835.6  -14803.6    ++
  10.2   -22.866    25.538    34.279       nan       nan     2.043     0.033      0.78  -47360.4    -328.4    +-
  10.2   -12.386   -50.121    51.628       nan       nan     3.949     0.041      1.49  -76448.7  -29416.8    ++
  10.2     0.794     1.188     1.429       nan       nan     0.026     0.000     -3.98  -31315.9   15716.0    --
  10.2    40.020    -4.634    40.287       nan       nan     5.880     0.103      1.92  -54565.4   -7533.4    +-
  10.2    36.936    18.196    41.174       nan       nan     6.137     0.149      1.97  -55123.1   -8091.2    ++
  10.1   -27.732    18.606    33.395       nan       nan     4.670     0.155      1.67  -49128.0   -2096.0    +-
  10.1    -8.409   -48.147    48.876       nan       nan     4.204     0.027      1.56  -69759.1  -22727.1    ++
  10.1     0.444     0.654     0.791       nan       nan     0.047     0.001     -3.31  -32103.7   14928.3    --
  10.1    34.825    27.082    44.116       nan       nan     6.841     0.106      2.09  -61388.1  -14356.2    ++
  10.1    38.227   -13.825    40.650       nan       nan     2.717     0.024      1.09  -56737.1   -9705.2    +-
  7.2d   -26.241    19.671    32.795       nan       nan     3.421     0.060      1.34  -47769.7       0.0    +-
  7.2d    -6.291   -49.439    49.837       nan       nan     7.417     0.338      2.18  -71271.9  -23502.2    ++
  7.2d     0.394     0.811     0.902       nan       nan     0.047     0.001     -3.32  -31823.5   15946.2    --
  7.2d    39.323   -12.513    41.265       nan       nan     2.942     0.026      1.17  -57542.4   -9772.7    +-
  7.2d    37.226    23.168    43.847       nan       nan     4.994     0.076      1.75  -60703.1  -12933.4    ++
  7.2c   -27.512    15.871    31.762       nan       nan     2.506     0.026      1.00  -47175.7     594.0    +-
  7.2c     1.324   -48.704    48.722       nan       nan     8.731     0.421      2.35  -67755.7  -19986.1    ++
  7.2c     0.050     0.491     0.494       nan       nan     0.052     0.001     -3.21  -31905.8   15863.8    --
  7.2c    38.512   -17.093    42.135       nan       nan     2.851     0.026      1.14  -59191.3  -11421.6    +-
  7.2c    37.722    25.927    45.772       nan       nan     4.524     0.053      1.64  -64940.8  -17171.2    ++
  7.2b   -28.661    16.682    33.163       nan       nan     3.699     0.083      1.42  -49374.5   -1604.8    +-
  7.2b    -6.580   -47.233    47.689       nan       nan     5.188     0.065      1.79  -67075.2  -19305.5    ++
  7.2b     0.287     0.398     0.490       nan       nan     0.051     0.001     -3.24  -32259.7   15510.0    --
  7.2b    34.007    29.737    45.175       nan       nan     5.021     0.056      1.75  -64101.2  -16331.5    ++
  7.2b    37.286   -16.564    40.800       nan       nan     2.555     0.023      1.02  -57173.4   -9403.7    +-
  7.2a   -27.033    20.598    33.986       nan       nan     3.642     0.064      1.40  -49660.2   -1890.5    +-
  7.2a   -10.757   -48.110    49.298       nan       nan     4.241     0.030      1.57  -70970.7  -23201.1    ++
  7.2a     0.593     0.746     0.953       nan       nan     0.044     0.001     -3.39  -32089.6   15680.1    --
  7.2a    33.629    27.441    43.405       nan       nan     8.955     0.206      2.38  -59843.1  -12073.4    ++
  7.2a    38.197   -12.367    40.149       nan       nan     2.732     0.024      1.09  -55798.1   -8028.4    +-
   8.2   -21.539    11.991    24.652       nan       nan     1.614     0.017      0.52  -34249.6       0.0    +-
   8.2    -1.687     1.192     2.066       nan       nan     0.075     0.002     -2.82  -27902.4    6347.2    --
   8.2    23.745   -48.096    53.638       nan       nan     3.375     0.034      1.32  -77087.3  -42837.7    ++
   8.2    47.593   -19.404    51.396       nan       nan     4.191     0.052      1.56  -73022.7  -38773.1    +-
   8.2    51.595     6.511    52.004       nan       nan     4.523     0.070      1.64  -74568.5  -40318.9    ++
   8.1   -19.326    15.630    24.856       nan       nan     1.542     0.010      0.47  -33847.7     401.8    +-
   8.1    -1.264     1.809     2.207       nan       nan     0.075     0.002     -2.82  -27591.0    6658.6    --
   8.1    17.036   -52.802    55.483       nan       nan     3.210     0.014      1.27  -81726.6  -47477.0    ++
   4.3   -24.909     7.810    26.105       nan       nan     1.514     0.010      0.45  -35691.2       0.0    +-
   4.3    -1.884     0.315     1.910       nan       nan     0.068     0.002     -2.91  -28268.8    7422.4    --
   4.3    34.211   -38.967    51.854       nan       nan     9.990     0.313      2.50  -72553.9  -36862.7    ++
   4.3    40.162   -32.582    51.717       nan       nan     7.524     0.103      2.19  -72483.2  -36792.0    +-
   4.3    50.948    20.561    54.941       nan       nan     3.021     0.025      1.20  -81417.9  -45726.7    ++
   4.1   -16.397    10.432    19.434       nan       nan     1.199     0.010      0.20  -25670.1   10021.0    +-
   4.1    -3.135     2.218     3.840       nan       nan     0.114     0.001     -2.36  -23307.8   12383.3    --
   4.1    30.217   -51.144    59.403       nan       nan     3.000     0.025      1.19  -87469.7  -51778.5    ++
