#REFERENCE 3 47.2332780 26.7604950
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   8.2    38.804    19.723    43.529       nan       nan    13.908     0.001      2.86  -34941.5  -11551.7    ++
   8.2    40.020    -4.633    40.287       nan       nan    22.777     0.015      3.39  -34649.2  -11259.4    +-
   8.1   -24.694    19.727    31.606       nan       nan     5.995     0.000      1.94  -22518.2     871.6    +-
   8.1    -8.409   -48.146    48.875       nan       nan     6.958     0.001      2.11  -41020.2  -17630.4    ++
   8.1    -0.629     1.278     1.425       nan       nan     0.161     0.000     -1.98  -13542.2    9847.6    --
   8.1    39.894    16.000    42.983       nan       nan    17.426     0.002      3.10  -34754.8  -11365.0    ++
   8.1    41.264    10.233    42.514       nan       nan     6.161     0.001      1.97  -34715.5  -11325.7    +-
  7.2d   -26.218    19.157    32.471       nan       nan     6.519     0.000      2.04  -23704.5       0.0    +-
  7.2d   -10.811   -47.252    48.473       nan       nan     7.356     0.001      2.17  -39886.9  -16182.4    ++
  7.2d    -0.472     1.043     1.145       nan       nan     0.153     0.000     -2.04  -13686.7   10017.8    --
  7.2d    37.226    23.170    43.848       nan       nan    13.046     0.001      2.79  -34717.5  -11013.0    ++
  7.2d    38.881    -7.392    39.577       nan       nan    14.897     0.007      2.93  -34014.8  -10310.3    +-
  7.2c   -27.512    15.872    31.763       nan       nan     5.425     0.000      1.84  -23271.9     432.6    +-
  7.2c    -5.834   -46.488    46.852       nan       nan    11.162     0.002      2.62  -37974.5  -14270.0    ++
  7.2c    -0.803     0.769     1.112       nan       nan     0.158     0.000     -2.00  -13729.8    9974.6    --
  7.2c    35.518   -17.509    39.599       nan       nan    11.060     0.006      2.61  -35104.5  -11400.0    +-
  7.2c    37.364    26.034    45.540       nan       nan    10.355     0.000      2.54  -37085.9  -13381.5    ++
  7.2b   -26.356    17.251    31.499       nan       nan     4.504     0.000      1.63  -22862.0     842.5    +-
  7.2b    -6.580   -47.232    47.688       nan       nan     8.877     0.001      2.37  -39263.7  -15559.2    ++
  7.2b    -0.766     0.990     1.252       nan       nan     0.160     0.000     -1.99  -13654.4   10050.0    --
  7.2b    38.276   -11.777    40.047       nan       nan    15.660     0.010      2.99  -35317.8  -11613.4    +-
