#REFERENCE 3 47.2332780 26.7604950
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
   D1b   -16.777    10.562    19.825     0.994     9.085     3.282      1.29  -25520.3   44019.5    +-
   D1b    34.211   -38.966    51.854     0.000     0.000    10.350      2.54  -69113.5     426.3    ++
   D1a    34.059   -39.364    52.053     0.994     9.206     9.901      2.49  -69440.9      98.9    ++
   D1a    -5.372     3.668     6.505     0.612     0.774     1.029      0.03  -24672.2   44867.6    --
   D1a   -16.397    10.433    19.434     0.000     0.000     3.287      1.29  -25281.5   44258.3    +-
  13.2    34.881   -22.370    41.438     0.995    10.027     5.309      1.81  -51249.1       0.0    +-
  13.2   -32.735    12.965    35.209     0.994     8.838     4.940      1.73  -42011.9    9237.2    +-
  13.2    35.575    36.136    50.709     0.987     6.088     6.227      1.99  -57602.3   -6353.2    ++
  13.2    -0.013     0.013     0.018     0.950     3.041     0.000     -9.57  -28955.2   22294.0    --
  13.2    -9.647   -48.157    49.114     0.000     0.000     9.494      2.44  -53802.0   -2552.8    ++
  13.1   -10.328   -47.756    48.860     0.997    12.060     9.773      2.48  -53251.8   -2002.7    ++
  13.1    34.840    37.160    50.938     0.995    10.052     6.065      1.96  -57960.1   -6711.0    ++
  13.1    -0.012     0.009     0.015     0.922     2.377     0.000     -9.66  -28973.2   22275.9    --
  13.1   -33.236    12.149    35.387     0.743     1.111     4.970      1.74  -42300.1    8949.0    +-
  13.1    34.153   -23.090    41.226     0.000     0.000     6.291      2.00  -50864.0     385.1    +-
